appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
10,Counter-Strike,Valve,Valve,,243818,6427,0,"10,000,000 .. 20,000,000",12222,563,204,88,199.0,999.0,80.0,7323
20,Team Fortress Classic,Valve,Valve,,7602,1136,0,"1,000,000 .. 2,000,000",361,6722,15,6722,499.0,499.0,0.0,66
30,Day of Defeat,Valve,Valve,,6414,688,0,"5,000,000 .. 10,000,000",859,3485,23,3604,499.0,499.0,0.0,87
40,Deathmatch Classic,Valve,Valve,,2618,545,0,"5,000,000 .. 10,000,000",353,4,10,4,499.0,499.0,0.0,7
50,Half-Life: Opposing Force,Gearbox Software,Valve,,24363,1198,0,"2,000,000 .. 5,000,000",528,78,162,78,499.0,499.0,0.0,74
60,Ricochet,Valve,Valve,,4989,1039,0,"200,000 .. 500,000",233,0,4,0,124.0,499.0,75.0,4
70,Half-Life,Valve,Valve,,143086,5135,0,"10,000,000 .. 20,000,000",635,481,136,39,999.0,999.0,0.0,634
80,Counter-Strike: Condition Zero,Valve,Valve,,24271,2287,0,"5,000,000 .. 10,000,000",1070,13,32,13,999.0,999.0,0.0,276
130,Half-Life: Blue Shift,Gearbox Software,Valve,,17384,1410,0,"1,000,000 .. 2,000,000",337,1,97,1,499.0,499.0,0.0,35
220,Half-Life 2,Valve,Valve,,239721,5906,0,"10,000,000 .. 20,000,000",763,157,326,48,199.0,999.0,80.0,1555
240,Counter-Strike: Source,Valve,Valve,,175426,6808,0,"10,000,000 .. 20,000,000",8021,304,385,256,199.0,999.0,80.0,6187
280,Half-Life: Source,Valve,Valve,,11068,4988,0,"2,000,000 .. 5,000,000",365,300,89,300,199.0,999.0,80.0,27
300,Day of Defeat: Source,Valve,Valve,,20798,1891,0,"2,000,000 .. 5,000,000",1906,1660,127,2411,199.0,999.0,80.0,238
320,Half-Life 2: Deathmatch,Valve,Valve,,12962,1334,0,"10,000,000 .. 20,000,000",635,0,38,0,1999.0,1999.0,0.0,159
360,Half-Life Deathmatch: Source,Valve,Valve,,3657,1242,0,"5,000,000 .. 10,000,000",338,0,12,0,199.0,999.0,80.0,43
380,Half-Life 2: Episode One,Valve,Valve,,30478,1344,0,"5,000,000 .. 10,000,000",0,0,0,0,1999.0,1999.0,0.0,18
400,Portal,Valve,Valve,,175024,2717,0,"10,000,000 .. 20,000,000",365,44,172,41,199.0,999.0,80.0,638
420,Half-Life 2: Episode Two,Valve,Valve,,40556,1226,0,"5,000,000 .. 10,000,000",0,0,0,0,1999.0,1999.0,0.0,20
440,Team Fortress 2,Valve,Valve,,1044264,117208,0,"50,000,000 .. 100,000,000",23736,650,4509,141,0.0,0.0,0.0,43819
500,Left 4 Dead,Valve,Valve,,59622,2272,0,"5,000,000 .. 10,000,000",1199,152,136,178,199.0,999.0,80.0,774
550,Left 4 Dead 2,Valve,Valve,,940221,23762,0,"50,000,000 .. 100,000,000",2480,172,519,85,999.0,999.0,0.0,25122
620,Portal 2,Valve,Valve,,427835,5675,0,"5,000,000 .. 10,000,000",974,156,500,155,199.0,999.0,80.0,1959
630,Alien Swarm,Valve,Valve,,20179,1095,0,"2,000,000 .. 5,000,000",1122,0,220,0,0.0,0.0,0.0,23
730,Counter-Strike: Global Offensive,Valve,Valve,,7642084,1173003,0,"100,000,000 .. 200,000,000",32775,875,6436,317,0.0,0.0,0.0,1013936
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,64024,3448,0,"2,000,000 .. 5,000,000",1807,184,275,143,1999.0,1999.0,0.0,224
1500,Darwinia,Introversion Software,Introversion Software,,864,216,0,"0 .. 20,000",74,0,16,0,1199.0,1199.0,0.0,2
1510,Uplink,Introversion Software,Introversion Software,,2143,216,0,"500,000 .. 1,000,000",153,2,33,2,359.0,1199.0,70.0,2
1520,DEFCON,Introversion Software,Introversion Software,,3657,525,0,"200,000 .. 500,000",166,90,39,160,1199.0,1199.0,0.0,8
1600,Dangerous Waters,Sonalysts,Strategy First,,293,81,0,"100,000 .. 200,000",206,0,336,0,499.0,2499.0,80.0,2
1610,Space Empires IV Deluxe,Malfador Machinations,Strategy First,,231,39,0,"50,000 .. 100,000",105,0,157,0,999.0,999.0,0.0,21
