iter	RMSE
0	20037.50441
1	19885.7674
2	19712.99576
3	19567.61568
4	19413.73966
5	19262.79323
6	19059.85143
7	18915.57024
8	18768.65588
9	18632.44037
10	18487.38382
11	18357.05285
12	18206.87161
13	18070.71798
14	17945.12646
15	17801.5132
16	17646.80617
17	17510.51546
18	17361.87455
19	17209.59612
20	17082.26117
21	16955.87251
22	16816.57603
23	16660.44432
24	16540.1181
25	16405.44617
26	16240.77167
27	16103.55025
28	15969.3382
29	15833.1462
30	15700.99412
31	15579.59532
32	15462.25543
33	15351.82372
34	15220.56837
35	15123.22715
36	15012.29061
37	14903.1461
38	14779.86785
39	14667.32566
40	14560.39948
41	14419.43233
42	14312.87907
43	14224.20133
44	14105.77163
45	13989.62223
46	13887.85825
47	13773.8473
48	13673.76925
49	13567.42913
50	13482.968
51	13384.22623
52	13271.63176
53	13159.89071
54	13080.06994
55	12989.40537
56	12898.25778
57	12788.77427
58	12701.10669
59	12621.12466
60	12516.54895
61	12416.27744
62	12325.95691
63	12227.73271
64	12147.19329
65	12059.73886
66	11960.04359
67	11874.98434
68	11767.6441
69	11656.73852
70	11564.80606
71	11483.00071
72	11401.60517
73	11322.60177
74	11242.9181
75	11169.71752
76	11090.86244
77	11000.29108
78	10891.42898
79	10814.44203
80	10732.81746
81	10627.62904
82	10566.19949
83	10479.08341
84	10395.87999
85	10325.4209
86	10254.33589
87	10191.36095
88	10115.25246
89	10068.3395
90	9999.475651
91	9917.733262
92	9850.282395
93	9786.145607
94	9719.82023
95	9658.770425
96	9596.94569
97	9501.355109
98	9431.456734
99	9368.065305
100	9311.539945
101	9241.638662
102	9167.066989
103	9092.80889
104	9016.706475
105	8967.350458
106	8892.642341
107	8844.840914
108	8755.843736
109	8697.6324
110	8645.416868
111	8580.84703
112	8531.807556
113	8467.271472
114	8417.679219
115	8352.061556
116	8280.497922
117	8246.395552
118	8177.225753
119	8116.026927
120	8081.181439
121	8033.710795
122	7974.245716
123	7910.666096
124	7850.008418
125	7788.603437
126	7744.018514
127	7695.829238
128	7642.967385
129	7586.154831
130	7539.826187
131	7479.082413
132	7422.991084
133	7369.210016
134	7320.969861
135	7279.269453
136	7224.319588
137	7191.17613
138	7133.859881
139	7094.397867
140	7050.251621
141	7019.613932
142	6994.706081
143	6937.901099
144	6904.177372
145	6863.701107
146	6818.05264
147	6777.453622
148	6733.634314
149	6693.083507
150	6654.412044
151	6603.35075
152	6579.910665
153	6545.161537
154	6499.32755
155	6475.971812
156	6435.272096
157	6382.219519
158	6333.354976
159	6301.684179
160	6267.573129
161	6234.736713
162	6189.658978
163	6143.680186
164	6107.131407
165	6070.586684
166	6044.347779
167	5999.952255
168	5975.645747
169	5962.26415
170	5935.074429
171	5917.839557
172	5879.506816
173	5840.55765
174	5803.579775
175	5782.260771
176	5734.799381
177	5701.140718
178	5658.059727
179	5627.95416
180	5598.242654
181	5565.230972
182	5543.871658
183	5522.070829
184	5484.672904
185	5448.378683
186	5417.70153
187	5388.209057
188	5366.192889
189	5354.390183
190	5329.923823
191	5301.470274
192	5271.707175
193	5242.232161
194	5219.150259
195	5204.136444
196	5190.990919
197	5158.092257
198	5131.198245
199	5089.410029
200	5063.947906
201	5038.78227
202	5007.786439
203	4986.417362
204	4968.71917
205	4941.242871
206	4921.993493
207	4894.423134
208	4869.121654
209	4844.93232
210	4833.353464
211	4805.058372
212	4780.21387
213	4753.678543
214	4730.006895
215	4714.546032
216	4681.354661
217	4653.649411
218	4640.053525
219	4610.112308
220	4584.183728
221	4551.444645
222	4540.806432
223	4516.440302
224	4491.325638
225	4471.639094
226	4454.971623
227	4431.158077
228	4415.471721
229	4404.079842
230	4385.009766
231	4364.72804
232	4340.93459
233	4318.566086
234	4299.572793
235	4285.696084
236	4267.673656
237	4257.680384
238	4239.971708
239	4208.129336
240	4186.758478
241	4164.36262
242	4150.307514
243	4134.777053
244	4123.464337
245	4104.790424
246	4096.528537
247	4082.615081
248	4074.251245
249	4051.067923
250	4032.302627
251	4010.467916
252	3996.441444
253	3971.04092
254	3966.745799
255	3946.471948
256	3938.273719
257	3918.326662
258	3903.560185
259	3887.455707
260	3865.362616
261	3861.253009
262	3844.827455
263	3836.910363
264	3821.11168
265	3809.691818
266	3787.717898
267	3763.982659
268	3761.071535
269	3739.035961
270	3715.115312
271	3704.806503
272	3695.059817
273	3674.968172
274	3668.366572
275	3650.005144
276	3645.31368
277	3630.231533
278	3614.261857
279	3596.885172
280	3585.106896
281	3568.746592
282	3565.788501
283	3553.930616
284	3538.484284
285	3530.146692
286	3511.637811
287	3502.280741
288	3483.967948
289	3468.026881
290	3452.588004
291	3433.525135
292	3412.617097
293	3398.935868
294	3392.74512
295	3378.020252
296	3370.386209
297	3357.571371
298	3340.975105
299	3323.151263
300	3304.032665
301	3298.052407
302	3282.906111
303	3265.3856
304	3255.255744
305	3240.215281
306	3225.752073
307	3209.867936
308	3197.437269
309	3180.643667
310	3162.776551
311	3155.080354
312	3139.14281
313	3124.387066
314	3113.837839
315	3107.741023
316	3094.487127
317	3082.282164
318	3066.862984
319	3053.322153
320	3037.689678
321	3023.509572
322	3017.421723
323	3005.720762
324	2991.174955
325	2984.577146
326	2969.949367
327	2958.217892
328	2945.218873
329	2939.924787
330	2927.028217
331	2912.834585
332	2905.056765
333	2890.980158
334	2879.016523
335	2866.84162
336	2861.318732
337	2854.309203
338	2852.600873
339	2838.873472
340	2829.525101
341	2811.616803
342	2802.77271
343	2791.931591
344	2781.369779
345	2767.184873
346	2755.8078
347	2741.075722
348	2729.579488
349	2718.265343
350	2707.819777
351	2698.043532
352	2691.656484
353	2689.814808
354	2679.733269
355	2672.356301
356	2661.947326
357	2646.78581
358	2635.680351
359	2623.622344
360	2614.064979
361	2612.253446
362	2597.814422
363	2593.590293
364	2575.253869
365	2565.362051
366	2555.524331
367	2545.87862
368	2535.231989
369	2525.904422
370	2518.276417
371	2507.716421
372	2495.440759
373	2486.450415
374	2484.746584
375	2476.190624
376	2465.223951
377	2455.664357
378	2443.261487
379	2430.264403
380	2419.498908
381	2416.40442
382	2408.925474
383	2402.019496
384	2390.404288
385	2385.568459
386	2369.978302
387	2361.746019
388	2355.149413
389	2350.556502
390	2349.467397
391	2342.693764
392	2327.884615
393	2320.068292
394	2312.157191
395	2296.645495
396	2289.292701
397	2282.901473
398	2267.642141
399	2261.467942
400	2251.884596
401	2248.451165
402	2240.583118
403	2237.441822
404	2234.332587
405	2225.455194
406	2220.779948
407	2210.078213
408	2202.258194
409	2191.763982
410	2182.649871
411	2168.000842
412	2157.785517
413	2147.634016
414	2141.915121
415	2138.868429
416	2130.109043
417	2116.274795
418	2106.415071
419	2096.695806
420	2087.19442
421	2073.554866
422	2067.348039
423	2058.005965
424	2051.476371
425	2038.099289
426	2031.81719
427	2025.758481
428	2021.954874
429	2010.443978
430	1997.597034
431	1991.795287
432	1986.158451
433	1984.187151
434	1980.662298
435	1967.850835
436	1965.962712
437	1964.128933
438	1958.724464
439	1945.12851
440	1933.906814
441	1932.160893
442	1930.46621
443	1928.822221
444	1927.224909
445	1925.676152
446	1924.173065
447	1915.005828
448	1902.77805
449	1890.702852
450	1889.263982
451	1887.867128
452	1879.052815
453	1870.40816
454	1856.526143
455	1855.185323
456	1841.466812
457	1833.202843
458	1819.784275
459	1818.493499
460	1810.438387
461	1797.204464
462	1795.968639
463	1785.811761
464	1772.99744
465	1771.818102
466	1770.457791
467	1762.81718
468	1751.268392
469	1741.067856
470	1731.566126
471	1730.479887
472	1723.33245
473	1712.111236
474	1711.077343
475	1703.938773
476	1696.965775
477	1690.056646
478	1683.257287
479	1678.78889
480	1672.879768
481	1661.840591
482	1658.253078
483	1647.439059
484	1641.000828
485	1635.724293
486	1630.538542
487	1621.170335
488	1613.864106
489	1605.36166
490	1599.29776
491	1590.245389
492	1581.667883
493	1573.940599
494	1565.78468
495	1560.36989
496	1555.033185
497	1546.610799
498	1541.360644
499	1535.291666
500	1529.782314
501	1521.314647
502	1519.125817
503	1514.080932
504	1506.064482
505	1497.857252
506	1489.769243
507	1481.959105
508	1475.691093
509	1467.818433
510	1460.060578
511	1452.415864
512	1444.935446
513	1440.381095
514	1436.860668
515	1432.575328
516	1425.198474
517	1418.093874
518	1415.224047
519	1408.018184
520	1403.829189
521	1396.915541
522	1390.530354
523	1384.883645
524	1379.318941
525	1372.673587
526	1365.8268
527	1361.890404
528	1358.027431
529	1351.898183
530	1342.017278
531	1338.30801
532	1334.079616
533	1329.481229
534	1320.015985
535	1316.356454
536	1309.958072
537	1308.868945
538	1305.962952
539	1299.754593
540	1295.333864
541	1290.998966
542	1288.241154
543	1282.195623
544	1278.821347
545	1272.887813
546	1267.042433
547	1262.89361
548	1258.825879
549	1256.334376
550	1249.065131
551	1243.442066
552	1234.902056
553	1234.134485
554	1227.187046
555	1224.069143
556	1221.010233
557	1218.008904
558	1217.201989
559	1214.12239
560	1210.426305
561	1206.598203
562	1201.367933
563	1196.21645
564	1191.142586
565	1184.640184
566	1179.698354
567	1172.574883
568	1166.347244
569	1165.415068
570	1160.670086
571	1154.987367
572	1153.664537
573	1150.342672
574	1144.79397
575	1140.287793
576	1137.378017
577	1131.571118
578	1125.887065
579	1119.28263
580	1116.513008
581	1113.800537
582	1112.240545
583	1109.519139
584	1104.461871
585	1101.82858
586	1095.757634
587	1090.88269
588	1086.094117
589	1079.985515
590	1074.905175
591	1074.098184
592	1068.822156
593	1063.684652
594	1060.838013
595	1058.488664
596	1057.722983
597	1053.659436
598	1051.56802
599	1045.913597
600	1044.086233
601	1039.428697
602	1036.78218
603	1034.188264
604	1028.65195
605	1026.130031
606	1024.466038
607	1023.89997
608	1022.323422
609	1017.884374
610	1017.33811
611	1013.560257
612	1011.183573
613	1006.322793
614	1001.128432
615	1000.611349
616	998.2434038
617	995.9226219
618	995.4271514
619	994.9290968
620	994.447812
621	992.9658353
622	992.5010346
623	988.877872
624	984.0816879
625	982.6396659
626	981.2248232
627	979.8365621
628	978.4743011
629	977.1374743
630	972.2303806
631	970.3412273
632	968.1507412
633	966.8540765
634	965.0169832
635	963.1711542
636	961.3782601
637	958.6762707
638	955.2759653
639	951.3635768
640	946.9361878
641	943.3875012
642	940.8075561
643	938.2751316
644	934.3774952
645	930.953816
646	929.1095323
647	925.8510845
648	920.2918768
649	919.1273434
650	914.8218477
651	913.2063575
652	911.4519183
653	908.4552379
654	906.6050738
655	903.2361305
656	900.1210722
657	896.253039
658	892.495757
659	888.7994685
660	887.7147226
661	883.9999403
662	880.9065067
663	878.2488103
664	874.9139846
665	872.5404258
666	870.2092663
667	868.6247745
668	867.6760472
669	864.4566042
670	862.1156407
671	859.8366357
672	858.3331086
673	856.1249717
674	855.7018305
675	855.2903615
676	853.1457656
677	851.0581061
678	849.1873929
679	847.3538244
680	845.4168366
681	843.414988
682	841.1442662
683	837.438931
684	835.5815253
685	834.1047841
686	833.1124313
687	830.931303
688	827.6797285
689	824.8834397
690	823.8375469
691	820.4588116
692	819.7252569
693	817.841933
