appid,name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
80,Counter-Strike: Condition Zero
130,Half-Life: Blue Shift
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
300,Day of Defeat: Source
320,Half-Life 2: Deathmatch
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
440,Team Fortress 2
500,Left 4 Dead
550,Left 4 Dead 2
620,Portal 2
630,Alien Swarm
730,Counter-Strike: Global Offensive
1250,Killing Floor
1500,Darwinia
1510,Uplink
1520,DEFCON
1600,Dangerous Waters
1610,Space Empires IV Deluxe
1630,Disciples II: Rise of the Elves 
1640,Disciples II: Gallean's Return
1690,Space Empires V
1700,Arx Fatalis
1840,Source Filmmaker
1900,Earth 2160
1930,Two Worlds Epic Edition
2100,Dark Messiah of Might & Magic
2200,Quake III Arena
2210,Quake 4
2270,Wolfenstein 3D
2280,DOOM + DOOM II
2290,Final DOOM
2300,DOOM II
2310,Quake
2320,Quake II
2400,The Ship: Murder Party
2450,Bloody Good Time
2570,Vigil: Blood Bitterness
2600,Vampire: The Masquerade - Bloodlines
2620,Call of Duty (2003)
2630,Call of Duty 2
2640,Call of Duty: United Offensive
2700,RollerCoaster Tycoon 3: Platinum
2710,Act of War: Direct Action
2720,ThreadSpace: Hyperbol
2780,ARMA: Combat Operations
2800,X2: The Threat
2810,X3: Reunion
2820,X3: Terran Conflict
2870,X Rebirth
2910,Fleet Command
2920,Sub Command
2990,FlatOut 2
3020,Call of Juarez
3130,Men of War: Red Tide
3170,King's Bounty: Armored Princess
3260,Safecracker: The Ultimate Puzzle Adventure
3300,Bejeweled 2 Deluxe
3310,Chuzzle Deluxe
3320,Insaniquarium Deluxe
3330,Zuma Deluxe
3340,AstroPop Deluxe
3350,Bejeweled Deluxe
3380,Dynomite Deluxe
3380,Dynomite Deluxe
3390,Feeding Frenzy 2 Deluxe
3410,Heavy Weapon Deluxe
3440,Rocket Mania Deluxe
3450,Typer Shark! Deluxe
3480,Peggle Deluxe
3490,Venice Deluxe
3500,Mystery P.I. - The Lottery Ticket
3510,Amazing Adventures The Lost Tomb
3520,Mystery P.I. - The Vegas Heist
3540,Peggle Nights
3560,Bejeweled Twist
3590,Plants vs. Zombies GOTY Edition
3600,Escape Rosecliff Island
3610,Mystery P.I. - Lost in Los Angeles
3620,Zuma's Revenge!
3700,Sniper Elite
3720,Evil Genius
3730,Aliens versus Predator Classic 2000
3810,BloodRayne (Legacy)
3820,BloodRayne 2 (Legacy)
3830,Psychonauts
3900,Sid Meier's Civilization IV
3910,Sid Meier's Civilization III Complete
3920,Sid Meier's Pirates!
3960,Shattered Union
3980,CivCity: Rome
3990,Civilization IV: Warlords
4000,Garry's Mod
4300,RoboBlitz
4460,City Life 2008
4470,Silverfall: Earth Awakening
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520,Full Spectrum Warrior
4560,Company of Heroes - Legacy Edition
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition"
4580,"Warhammer 40,000: Dawn of War - Dark Crusade"
4700,Total War: MEDIEVAL II – Definitive Edition
4720,Condemned: Criminal Origins
4760,Rome: Total War - Collection
4770,Rome: Total War - Alexander
4800,Heroes of Annihilated Empires
4850,Cossacks: Back to War
4870,Cossacks: Art of War
4880,Cossacks: European Wars
4890,Cossacks II: Battle for Europe
4900,Zen of Sudoku
4920,Natural Selection 2
6000,STAR WARS Republic Commando
6010,Indiana Jones and the Fate of Atlantis
6020,STAR WARS Jedi Knight - Jedi Academy
6030,STAR WARS Jedi Knight II - Jedi Outcast
6060,"STAR WARS Battlefront II (Classic, 2005)"
6080,Thrillville: Off the Rails
6120,Shank
6200,Ghost Master
6220,FlatOut
6250,Making History: The Calm & the Storm
6250,Making History: The Calm & the Storm
6300,Dreamfall: The Longest Journey
6310,The Longest Journey
6370,Bloodline Champions
6400,Joint Task Force
6420,Nexus - The Jupiter Incident
6510,Lost Planet: Extreme Condition
6550,Devil May Cry 3 Special Edition
6800,Commandos: Behind Enemy Lines
6810,Commandos: Beyond the Call of Duty
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6850,Hitman 2: Silent Assassin
6860,Hitman: Blood Money
6870,Battlestations: Midway
6880,Just Cause
6900,Hitman: Codename 47
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6980,Thief: Deadly Shadows
7000,Tomb Raider: Legend
7020,Rogue Trooper
7020,Rogue Trooper
7200,Trackmania United Forever
7210,"Runaway, A Road Adventure"
7220,"Runaway, The Dream of The Turtle"
7260,Loki
7510,X-Blades
7520,Two Worlds II HD
7530,Two Worlds II Castle Defense
7600,Sid Meier's Railroads!
7610,Railroad Tycoon 3
7620,Railroad Tycoon II Platinum
7650,X-COM: Terror From the Deep
7660,X-COM: Apocalypse
7670,BioShock
7760,X-COM: UFO Defense
7800,Stubbs the Zombie in Rebel Without a Pulse
7830,Men of War
7840,Death Track: Resurrection
7860,NecroVision
7940,Call of Duty 4: Modern Warfare (2007)
8000,Tomb Raider: Anniversary
8140,Tomb Raider: Underworld
8170,Battlestations Pacific
8190,Just Cause 2
8200,Sam & Max 101: Culture Shock
8230,Sam & Max 104: Abe Lincoln Must Die!
8330,Telltale Texas Hold ‘Em
8340,Strong Bad's Cool Game for Attractive People: Season 1
8360,Strong Bad's Cool Game for Attractive People: Episode 3
8370,Strong Bad's Cool Game for Attractive People: Episode 4
8380,Strong Bad's Cool Game for Attractive People: Episode 5
8400,Geometry Wars: Retro Evolved
8500,EVE Online
8600,RACE 07
8800,Civilization IV: Beyond the Sword
8850,BioShock 2
8870,BioShock Infinite
8880,Freedom Force
8930,Sid Meier's Civilization V
8980,Borderlands Game of the Year
9010,Return to Castle Wolfenstein
9050,DOOM 3
9160,Master Levels for Doom II
9200,RAGE
9310,"Warhammer 40,000: Dawn of War – Winter Assault"
9340,Company of Heroes: Opposing Fronts
9350,Supreme Commander
9420,Supreme Commander: Forged Alliance
9450,"Warhammer 40,000: Dawn of War - Soulstorm"
9460,Frontlines: Fuel of War
9480,Saints Row 2
9730,Tycoon City: New York
9760,Act of War: High Treason
9850,Codename: Panzers - Cold War
9880,Champions Online
9900,Star Trek Online
9940,Blade Kitten
9980,The UnderGarden
10090,Call of Duty: World at War
10100,King's Quest Collection
10110,Space Quest Collection
10130,TimeShift
10150,Prototype
10180,Call of Duty: Modern Warfare 2 (2009)
10220,Postal III
10270,Disciples III: Reincarnation
10460,The Club
10500,Total War: EMPIRE – Definitive Edition
10680,Aliens vs. Predator
11020,TrackMania Nations Forever
11040,Sherlock Holmes - Nemesis
11050,Dracula: Origin
11140,Sherlock Holmes: The Awakened (2008)
11150,Sherlock Holmes: The Silver Earring
11190,Sherlock Holmes versus Jack the Ripper
11240,Space Trader: Merchant Marine
11260,Pacific Storm Allies
11450,Overlord
11480,Soldiers: Heroes of World War II - Enhanced Edition
11560,Maelstrom: The Battle for Earth Begins
11610,Dragon Nest
12100,Grand Theft Auto III
12110,Grand Theft Auto: Vice City
12120,Grand Theft Auto: San Andreas
12130,Manhunt
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12160,Midnight Club 2
12200,Bully: Scholarship Edition
12210,Grand Theft Auto IV: The Complete Edition
12320,Sacred Gold
12330,Darkstar One
12360,FlatOut: Ultimate Carnage Collector's Edition
12430,SlamIt Pinball Big Score
12450,Ankh 3: Battle of the Gods
12470,Port Royale 2
12500,PuzzleQuest: Challenge of the Warlords
12640,Drakensang
12660,Miss Popularity
12690,Hunting Unlimited 2010
12710,Overlord: Raising Hell
12810,Overlord II
12830,Operation Flashpoint: Dragon Rising
12900,AudioSurf
13000,Ninja Reflex: Steamworks Edition
13000,Ninja Reflex: Steamworks Edition
13120,America's Army 3 Beta
13140,America's Army 3
13210,Unreal Tournament 3 Black
13230,Unreal Tournament 2004: Editor's Choice Edition
13240,Unreal Tournament: Game of the Year Edition
13250,Unreal Gold
13500,Prince of Persia: Warrior Within
13520,Far Cry
13530,Prince of Persia: The Two Thrones
13540,Tom Clancy's Rainbow Six Vegas
13560,Tom Clancy's Splinter Cell
13570,Tom Clancy's Splinter Cell Chaos Theory
13580,Tom Clancy's Splinter Cell Double Agent
13600,Prince of Persia: The Sands of Time
15080,Rayman Raving Rabbids
15100,Assassin's Creed: Director's Cut Edition
15120,Tom Clancy's Rainbow Six Vegas 2
15130,Beyond Good and Evil
15170,Heroes of Might & Magic V
15190,Brothers in Arms: Road to Hill 30
15200,Silent Hunter: Wolves of the Pacific
15210,Silent Hunter III
15240,Silent Hunter: Wolves of the Pacific U-Boat Missions
15270,Cold Fear
15300,Tom Clancy's Ghost Recon
15320,IL-2 Sturmovik: 1946
15370,Heroes of Might & Magic V: Tribes of the East
15380,Heroes of Might & Magic V: Hammers of Fate
15390,Brothers in Arms: Hell's Highway
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
15620,"Warhammer 40,000: Dawn of War II - Anniversary Edition"
15700,Oddworld: Abe's Oddysee
15710,Oddworld: Abe's Exoddus
15740,Oddworld: Munch's Oddysee
15750,Oddworld: Stranger's Wrath HD
15900,7 Wonders II
15930,Luxor 3
16000,Discovery! A Seek and Find Adventure
16000,Discovery! A Seek and Find Adventure
16040,Luxor: Quest for the Afterlife
16100,Virtual Villagers: A New Home
16100,Virtual Villagers: A New Home
16110,Virtual Villagers: The Lost Children
16120,Plant Tycoon
16130,Fish Tycoon
16130,Fish Tycoon
16180,Virtual Villagers - The Secret City
16200,Virtual Families
16450,F.E.A.R. 2: Project Origin
16710,Insecticide Part 1
16730,Legendary
16810,Sid Meier's Civilization IV: Colonization
16900,GROUND BRANCH
17100,Children of the Nile: Enhanced Edition
17120,Children of the Nile: Alexandria
17300,Crysis
17330,Crysis Warhead
17390,SPORE
17410,Mirror's Edge
